LINK;TITULO;FECHA;MEDIO;MODALIDAD DE ROBO;TIPO DE ARMA;EDAD VICTIMA;EDAD DELINCUENTE;GENERO VICTIMA;GENERO DELINCUENTE;DISTRITO;MUERTOS;HERIDOS;OCUPACIÓN
http://www.latina.pe/noticias/90/san-juan-de-miraflores-lo-acuchillan-y-matan-para-robarle-celular-49976/;San Juan de Miraflores: lo acuchillan y matan para robarle celular;27/03/2017;Latina;Asalto;Arma Blanca;;;Hombre;;San Juan de Miraflores;1;0;
http://rpp.pe/virales/facebook/asalto-a-barberia-de-san-martin-de-porres-fue-transmitido-via-facebook-noticia-1039646;Asalto a barbería de San Martín de Porres fue transmitido vía Facebook;27/03/2017;RPP;Asalto;Pistola;;;Hombre;Hombre (3);San Martín de Porres;0;0;Dueño de local
http://peru21.pe/actualidad/callao-policia-femenina-frustra-asalto-2276097;Policía femenina frustra asalto en el Callao;31/03/2017;Perú21;Raqueteo;Sin arma;;;Varios (No especifica);Hombre;Callao;0;0;
https://panamericana.pe/24horas/locales/224402-camaras-captan-asalto-casa-cambios-jesus-maria;Cámaras captan asalto en casa de cambios en Jesús María;31/03/2017;Panamericana TV;Hurto;;;;Varios (No especifica);Varios (No especifica);Jesús María;0;0;
http://larepublica.pe/sociedad/853662-delincuentes-asaltaron-balazos-musicos-en-surco;Delincuentes asesinan a balazos a músico en Surco;5/03/2017;La República;Asalto;Pistola;35-55/ 22-34;;Hombre (2);Varios (No especifricar;Surco;1;1;Artista
https://panamericana.pe/buenosdiasperu/locales/223455-sjl-roban-autos-estacionados-colegio;SJL: roban autos estacionados en colegio;;Panamericana TV;Hurto;Pistola;;;Hombre;Hombre (6);San Juan de Lurigancho;0;0;
https://panamericana.pe/24horas/locales/223122-denuncian-taxista-conocida-empresa-complice-asaltantes/multimedia/1;Denuncian que taxista de conocida empresa sería cómplice de asaltantes;;Panamericana TV;Asalto;Pistola;15-21;;Hombre;Hombre (2);San Miguel;0;0;
http://www.elpopular.pe/actualidad-y-policiales/2017-05-01-san-martin-de-porres-robacasas-liderados-por-mujer-se-llevan-hasta-viveres-video;San Martín de Porres: robacasas liderados por mujer se llevan hasta víveres;1/05/2017;El Popular;Hurto;Sin Arma;;;;Mujer;San Martin de Porres;0;0;
http://ojo.pe/policial/reconocido-policia-partero-queda-herido-y-temido-delincuente-muere-en-intervencion-fotos-y-video-241818/;‘Policía partero’ resulta herido y temido delincuente muere en intervención (FOTOS y VIDEO);15/06/2017;Ojo;Otros;Pistola;;;Hombre;Hombre (2);Ate;1;1;Policía
http://trome.pe/actualidad/olivos-robo-pollos-patos-asalto-empresaria-48416;Los Olivos: 'Gorda' fue arrestada por robar pollitos y patitos;1/05/2017;Trome;Asalto;Pistola;56-100;;Mujer;Varios (No especifica);Los Olivos;0;0;Comerciante
